Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Jeffries	Hakeem S.		P	NY08	2021	4/16/2021	20018596
Hon.	Jeffries	Hakeem S.		P	NY08	2021	4/25/2021	20018630
Mr.	Johnson	Alden Patrick		D	MS04	2021	4/9/2021	8217940
Hon.	Keating	William R.		P	MA09	2021	4/27/2021	20018465
Mr.	Keller	Bryan Eugene		C	WY00	2021	3/1/2021	10039567
Hon.	Kelly	Mike		P	PA16	2021	1/25/2021	8217820
Hon.	Kelly	Mike		P	PA16	2021	2/23/2021	8217868
Hon.	Kelly	Mike		P	PA16	2021	4/15/2021	8217939
Hon.	Kennedy	Joseph P.	III	X	MA04	2021	4/15/2021	8217980
Hon.	Khanna	Rohit		P	CA17	2021	2/16/2021	8217856
Hon.	Khanna	Rohit		P	CA17	2021	3/12/2021	8217894
Hon.	Khanna	Rohit		P	CA17	2021	4/16/2021	8217938
Hon.	King	Peter T.		T	NY02	2021	2/4/2021	8217837
Hon.	King	Steve		T	IA04	2021	2/3/2021	10039510
Hon.	King	Steve		X	IA04	2021	2/3/2021	30011644
	Koprowski	Gene		W	IL16	2021	2/16/2021	7807
	Kumar	Neil		C	AR03	2021	4/29/2021	10040085
Hon.	Kustoff	David		P	TN08	2021	2/26/2021	8217876
Hon.	Lamborn	Doug		P	CO05	2021	2/8/2021	8217846
